School Code,DfE Number,National Centre Number,DENINO,School Type,School name,Average point score 2014,Z Score 2014,Average point score 2015,Z Score 2015,Average Point score 2016,Z Score 2016,Average Z Score 2014-2016,Above or Below Average,Notes
14048,1420020,71216,1420020,,Campbell College                                ,887.2933884,1.024748168,819.01,0.831548114,810.87,0.884220578,0.91350562,Above Average,
14050,1420021,71105,1420021,,St Mary's Christian Brothers' Grammar School    ,603.140625,-0.427676092,548.65,-0.651785756,588.85,-0.460158619,-0.513206822,Below Average,
14053,1420095,71258,1420095,,Rathmore Grammar School                         ,917.0775862,1.176987727,774.72,0.588550418,769.8,0.635532831,0.800356992,Above Average,
14055,1420082,71115,1420082,,Dominican College                               ,875.0708661,0.962273717,808.01,0.771196463,808.31,0.868719223,0.867396468,Above Average,
14059,1410079,71234,1410079,,Grosvenor Grammar School                        ,747.106383,0.308193435,682.93,0.084943317,685.81,0.126955186,0.173363979,Above Average,
14062,1420022,71237,1420022,,Methodist College                               ,904.1163793,1.110737549,854.54,1.02648395,819.41,0.935932128,1.024384542,Above Average,
14063,1210022,71131,1210022,,Belfast Boys' Model School                      ,560.390625,-0.646189319,601.52,-0.361713771,494.05,-1.034193156,-0.680698749,Below Average,
14064,1210021,71133,1210021,,Belfast Model School For Girls                  ,474.2213115,-1.086636914,503.04,-0.90202565,470.96,-1.174008108,-1.054223557,Below Average,
14067,1210266,71249,1210266,,Orangefield High School                         ,710,0.118527108,No Data,No Data,No Data,No Data,0.118527108,Above Average,Closed in 2014
14068,1420265,71255,1420265,,Hunterhouse College                             ,622.2168675,-0.330169395,679.18,0.06436889,684,0.115995244,-0.049935087,Below Average,
14070,1420028,71101,1420028,,Belfast Royal Academy                           ,719.3055556,0.166091715,728.95,0.337432682,712.61,0.289234992,0.26425313,Above Average,
14072,1420029,71139,1420029,,St Dominic's High School                        ,753.1875,0.339276581,791.22,0.679077896,706.59,0.252782587,0.423712355,Above Average,
14074,1230053,71147,1230053,,St Louise's Comprehensive College               ,576.0148026,-0.566327577,582.95,-0.463598332,566.31,-0.596643202,-0.542189704,Below Average,
14075,1420030,71149,1420030,,St Malachy's College                            ,826.4132231,0.713564043,817.04,0.820739682,860.15,1.182621654,0.905641793,Above Average,
14076,1230026,71151,1230026,,St Patrick's College                            ,379.4651163,-1.570975673,353.67,-1.721546216,359.61,-1.84825648,-1.71359279,Below Average,
14078,1420089,71279,1420089,,Strathearn School                               ,937.2925532,1.280314924,871.61,1.12013874,915.85,1.51989722,1.306783628,Above Average,
14079,1420027,71264,1420027,,The Royal Belfast Academical Institution        ,766.1333333,0.405448179,861.36,1.063901974,870.27,1.243900446,0.904416866,Above Average,
14081,1420264,71282,1420264,,Victoria College                                ,895.1813725,1.065066972,864.49,1.081074762,868.55,1.233485473,1.126542402,Above Average,
14082,3230234,71363,3230234,,St Patrick's Co-ed Comprehensive College        ,907.5,1.128032657,815.35,0.811467474,728.19,0.383575267,0.774358466,Above Average,
14083,3420068,71377,3420068,,Dominican College                               ,599.2027027,-0.447804469,610.12,-0.314529753,571.39,-0.565882701,-0.442738974,Below Average,
14084,4420086,71501,4420086,,Assumption Grammar School                       ,866.957265,0.92080169,844.09,0.96914988,820.48,0.94241121,0.944120927,Above Average,
14085,5410013,71701,5410013,,Banbridge Academy                               ,1028.160221,1.744777784,940.53,1.498269271,916.96,1.526618511,1.589888522,Above Average,
14088,4410097,71511,4410097,,Glenlola Collegiate                             ,958.4745763,1.388585151,857.64,1.043492142,828.21,0.989218034,1.140431776,Above Average,
14089,4420015,71509,4420015,,Bangor Grammar School                           ,886.7307692,1.021872385,831.26,0.898757908,793.53,0.779223122,0.899951138,Above Average,
14090,4410085,71544,4410085,,Down High School                                ,920.0205479,1.192030442,848.84,0.995210821,877.67,1.288709049,1.158650104,Above Average,
