EUCLID DfE Number,EUCLID School Code,match on school code,school code same in both sheets,EUCLID National Centre Number,School Name,School type,Average wider points score for pupils aged 17 2014,Z score 2014,Average wider points score for pupils aged 17 2015,Z score 2015,Average wider points score for pupils aged 17 2016,Z Score 2016,Average Z score 2014-2016,Above or Below Average,Notes,Change check 2014-15,Change check 2015-16,Upload check,Upload double check
6814071,10904,10904,TRUE,68724,Ysgol Gyfun Gymraeg Glantaf,Comprehensive School,806.4,-0.14,762.5,-0.41,785.78,-0.41,-0.32,Below Average,,OK,OK,Below Average,TRUE
6814072,17244,17244,TRUE,68796,Ysgol Gyfun Gymraeg Plasmawr,Comprehensive School,978.2,0.98,926.4,0.69,1036.02,1.4,1.02,Above Average,,OK,OK,Above Average,TRUE
6814073,19147,19147,TRUE,68723,Michaelston Community College,Comprehensive School,252.3,-3.75,421.6,-2.69,497.26,-2.49,-2.98,Below Average,,Big Change,OK,Below Average,TRUE
6814608,15312,15312,TRUE,68717,The Bishop Of Llandaff C.I.W. High School,Comprehensive School,1079,1.63,1076.6,1.7,1027.76,1.34,1.56,Above Average,,OK,OK,Above Average,TRUE
6814609,14809,14809,TRUE,68747,St Teilo's C.I.W. High School,Comprehensive School,918.5,0.59,783.9,-0.26,787.98,-0.39,-0.02,Below Average,,OK,OK,Below Average,TRUE
6815403,10790,10790,TRUE,68751,Whitchurch High School,Comprehensive School,1009.1,1.18,1099.9,1.85,1012.66,1.23,1.42,Above Average,,OK,OK,Above Average,TRUE
6816004,16847,16847,TRUE,68741,St Johns College,Independent School,959,0.85,910.5,0.58,918.88,0.56,0.66,Above Average,,OK,OK,Above Average,TRUE
6816024,10780,10780,TRUE,68731,Howell's School,Independent School,843.7,0.1,862.8,0.27,869.46,0.2,0.19,Above Average,,OK,OK,Above Average,TRUE
6665500,12325,12325,TRUE,68650,Ysgol Bro Hyddgen,Comprehensive School,1049.7,1.44,916.1,0.62,929.62,0.63,0.9,Above Average,Data for 2013 and 2014 taken from Ysgol Bro Ddyfi,OK,OK,Above Average,TRUE
6675501,19615,#N/A,#N/A,Not Known,Ysgol Henry Richard School,Comprehensive School,696.1,-0.86,690.6,-0.89,No Data,No Data,-0.87,Below Average,Opened in 2014,OK,No Data,#N/A,#N/A
6724085,27261,27261,TRUE,68591,Ysgol Gyfun Gymraeg Llangynwyd,Comprehensive School,No data,No data,966.4,0.96,1065.09,1.61,1.29,Above Average,Opened in 2008 but only got data for 2014,No Data,OK,Above Average,TRUE
6744106,19300,19300,TRUE,68505,Aberdare Community School,Comprehensive School,611.3,-1.41,655.2,-1.13,889.37,0.34,-0.73,Below Average,Opened in 2014,OK,Big Change,Below Average,TRUE
6816012,19036,19036,TRUE,68763,The Cathedral School,Independent School,No data,No data,892.7,0.46,892.11,0.36,0.41,Above Average,,No Data,OK,Above Average,TRUE
6694064,19120,19120,TRUE,68229  ,Ysgol Maes y Gwendraeth,Comprehensive School,820.8,-0.05,927.4,0.70,844.27,0.02,0.02,Above Average,New School,No Data,No Data,Above Average,TRUE
6784076,19527,19527,TRUE,Not Known,Cwmbran High,Comprehensive School,883.9,0.36,682.5,-0.94,785.26,-0.41,-0.33,Below Average,New school,Big Change,OK,Below Average,TRUE
,,,,,,,2014 Average,,2015 Average,,2016 Average,,,,,,,,
,,,,,,,828.2,,823.3,,842,,,,,,,,
,,,,,,,2014 SD,,2015 SD,,2016 SD,,,,,,,,
,,,,,,,153.8,,149.4,,138.3,,,,,,,,
